"t.x"	"t.y"	"t.Freq"	"prop.row.x"	"prop.row.y"	"prop.row.Freq"	"prop.col.x"	"prop.col.y"	"prop.col.Freq"	"prop.tbl.x"	"prop.tbl.y"	"prop.tbl.Freq"
"1"	"119"	"119"	0	"119"	"119"	0	"119"	"119"	0	"119"	"119"	0
"2"	"123"	"119"	0	"123"	"119"	0	"123"	"119"	0	"123"	"119"	0
"3"	"129"	"119"	0	"129"	"119"	0	"129"	"119"	0	"129"	"119"	0
"4"	"141"	"119"	0	"141"	"119"	0	"141"	"119"	0	"141"	"119"	0
"5"	"222"	"119"	0	"222"	"119"	0	"222"	"119"	0	"222"	"119"	0
"6"	"261"	"119"	0	"261"	"119"	0	"261"	"119"	0	"261"	"119"	0
"7"	"294"	"119"	0	"294"	"119"	0	"294"	"119"	0	"294"	"119"	0
"8"	"298"	"119"	0	"298"	"119"	0	"298"	"119"	0	"298"	"119"	0
"9"	"309"	"119"	0	"309"	"119"	0	"309"	"119"	0	"309"	"119"	0
"10"	"321"	"119"	0	"321"	"119"	0	"321"	"119"	0	"321"	"119"	0
"11"	"341"	"119"	0	"341"	"119"	0	"341"	"119"	0	"341"	"119"	0
"12"	"383"	"119"	1	"383"	"119"	1	"383"	"119"	0.333333333333333	"383"	"119"	0.05
"13"	"410"	"119"	1	"410"	"119"	1	"410"	"119"	0.333333333333333	"410"	"119"	0.05
"14"	"451"	"119"	1	"451"	"119"	1	"451"	"119"	0.333333333333333	"451"	"119"	0.05
"15"	"761"	"119"	0	"761"	"119"	0	"761"	"119"	0	"761"	"119"	0
"16"	"797"	"119"	0	"797"	"119"	0	"797"	"119"	0	"797"	"119"	0
"17"	"824"	"119"	0	"824"	"119"	0	"824"	"119"	0	"824"	"119"	0
"18"	"1112"	"119"	0	"1112"	"119"	0	"1112"	"119"	0	"1112"	"119"	0
"19"	"1623"	"119"	0	"1623"	"119"	0	"1623"	"119"	0	"1623"	"119"	0
"20"	"2594"	"119"	0	"2594"	"119"	0	"2594"	"119"	0	"2594"	"119"	0
"21"	"119"	"123"	0	"119"	"123"	0	"119"	"123"	0	"119"	"123"	0
"22"	"123"	"123"	1	"123"	"123"	1	"123"	"123"	0.333333333333333	"123"	"123"	0.05
"23"	"129"	"123"	0	"129"	"123"	0	"129"	"123"	0	"129"	"123"	0
"24"	"141"	"123"	0	"141"	"123"	0	"141"	"123"	0	"141"	"123"	0
"25"	"222"	"123"	0	"222"	"123"	0	"222"	"123"	0	"222"	"123"	0
"26"	"261"	"123"	0	"261"	"123"	0	"261"	"123"	0	"261"	"123"	0
"27"	"294"	"123"	0	"294"	"123"	0	"294"	"123"	0	"294"	"123"	0
"28"	"298"	"123"	1	"298"	"123"	1	"298"	"123"	0.333333333333333	"298"	"123"	0.05
"29"	"309"	"123"	0	"309"	"123"	0	"309"	"123"	0	"309"	"123"	0
"30"	"321"	"123"	0	"321"	"123"	0	"321"	"123"	0	"321"	"123"	0
"31"	"341"	"123"	1	"341"	"123"	1	"341"	"123"	0.333333333333333	"341"	"123"	0.05
"32"	"383"	"123"	0	"383"	"123"	0	"383"	"123"	0	"383"	"123"	0
"33"	"410"	"123"	0	"410"	"123"	0	"410"	"123"	0	"410"	"123"	0
"34"	"451"	"123"	0	"451"	"123"	0	"451"	"123"	0	"451"	"123"	0
"35"	"761"	"123"	0	"761"	"123"	0	"761"	"123"	0	"761"	"123"	0
"36"	"797"	"123"	0	"797"	"123"	0	"797"	"123"	0	"797"	"123"	0
"37"	"824"	"123"	0	"824"	"123"	0	"824"	"123"	0	"824"	"123"	0
"38"	"1112"	"123"	0	"1112"	"123"	0	"1112"	"123"	0	"1112"	"123"	0
"39"	"1623"	"123"	0	"1623"	"123"	0	"1623"	"123"	0	"1623"	"123"	0
"40"	"2594"	"123"	0	"2594"	"123"	0	"2594"	"123"	0	"2594"	"123"	0
"41"	"119"	"129"	0	"119"	"129"	0	"119"	"129"	0	"119"	"129"	0
"42"	"123"	"129"	0	"123"	"129"	0	"123"	"129"	0	"123"	"129"	0
"43"	"129"	"129"	0	"129"	"129"	0	"129"	"129"	0	"129"	"129"	0
"44"	"141"	"129"	0	"141"	"129"	0	"141"	"129"	0	"141"	"129"	0
"45"	"222"	"129"	0	"222"	"129"	0	"222"	"129"	0	"222"	"129"	0
"46"	"261"	"129"	0	"261"	"129"	0	"261"	"129"	0	"261"	"129"	0
"47"	"294"	"129"	0	"294"	"129"	0	"294"	"129"	0	"294"	"129"	0
"48"	"298"	"129"	0	"298"	"129"	0	"298"	"129"	0	"298"	"129"	0
"49"	"309"	"129"	0	"309"	"129"	0	"309"	"129"	0	"309"	"129"	0
"50"	"321"	"129"	1	"321"	"129"	1	"321"	"129"	1	"321"	"129"	0.05
"51"	"341"	"129"	0	"341"	"129"	0	"341"	"129"	0	"341"	"129"	0
"52"	"383"	"129"	0	"383"	"129"	0	"383"	"129"	0	"383"	"129"	0
"53"	"410"	"129"	0	"410"	"129"	0	"410"	"129"	0	"410"	"129"	0
"54"	"451"	"129"	0	"451"	"129"	0	"451"	"129"	0	"451"	"129"	0
"55"	"761"	"129"	0	"761"	"129"	0	"761"	"129"	0	"761"	"129"	0
"56"	"797"	"129"	0	"797"	"129"	0	"797"	"129"	0	"797"	"129"	0
"57"	"824"	"129"	0	"824"	"129"	0	"824"	"129"	0	"824"	"129"	0
"58"	"1112"	"129"	0	"1112"	"129"	0	"1112"	"129"	0	"1112"	"129"	0
"59"	"1623"	"129"	0	"1623"	"129"	0	"1623"	"129"	0	"1623"	"129"	0
"60"	"2594"	"129"	0	"2594"	"129"	0	"2594"	"129"	0	"2594"	"129"	0
"61"	"119"	"222"	1	"119"	"222"	1	"119"	"222"	0.333333333333333	"119"	"222"	0.05
"62"	"123"	"222"	0	"123"	"222"	0	"123"	"222"	0	"123"	"222"	0
"63"	"129"	"222"	0	"129"	"222"	0	"129"	"222"	0	"129"	"222"	0
